"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","home_pt_diff","visit_pt_diff","home_wl_perc","visit_wl_perc","visit_wl_as_visitor","home_wl_as_home","home_play_yest","visit_play_yest","home_3_in_4","visit_3_in_4","home_2_in_3","visit_2_in_3","label"
"200010310ATL","Tue, Oct 31, 2000","7:30p","Charlotte Hornets",106,"Atlanta Hawks",82,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310NJN","Tue, Oct 31, 2000","7:30p","Cleveland Cavaliers",86,"New Jersey Nets",82,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310ORL","Tue, Oct 31, 2000","7:30p","Washington Wizards",86,"Orlando Magic",97,0,0,0,0,0,0,0,0,0,0,0,0,1
"200010310DAL","Tue, Oct 31, 2000","8:00p","Milwaukee Bucks",93,"Dallas Mavericks",97,0,0,0,0,0,0,0,0,0,0,0,0,1
"200010310NYK","Tue, Oct 31, 2000","8:00p","Philadelphia 76ers",101,"New York Knicks",72,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310TOR","Tue, Oct 31, 2000","8:00p","Detroit Pistons",104,"Toronto Raptors",95,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310CHI","Tue, Oct 31, 2000","8:30p","Sacramento Kings",100,"Chicago Bulls",81,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310HOU","Tue, Oct 31, 2000","8:30p","Minnesota Timberwolves",106,"Houston Rockets",98,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310SAS","Tue, Oct 31, 2000","8:30p","Indiana Pacers",85,"San Antonio Spurs",98,0,0,0,0,0,0,0,0,0,0,0,0,1
"200010310UTA","Tue, Oct 31, 2000","9:00p","Los Angeles Clippers",94,"Utah Jazz",107,0,0,0,0,0,0,0,0,0,0,0,0,1
"200010310GSW","Tue, Oct 31, 2000","10:30p","Phoenix Suns",94,"Golden State Warriors",96,0,0,0,0,0,0,0,0,0,0,0,0,1
"200010310POR","Tue, Oct 31, 2000","10:30p","Los Angeles Lakers",96,"Portland Trail Blazers",86,0,0,0,0,0,0,0,0,0,0,0,0,0
"200010310VAN","Tue, Oct 31, 2000","10:30p","Seattle SuperSonics",88,"Vancouver Grizzlies",94,0,0,0,0,0,0,0,0,0,0,0,0,1
"200011010BOS","Wed, Nov 1, 2000","7:00p","Detroit Pistons",83,"Boston Celtics",103,0,9,0,1,1,0,0,1,0,0,0,0,1
"200011010PHI","Wed, Nov 1, 2000","7:00p","Toronto Raptors",98,"Philadelphia 76ers",104,29,-9,1,0,0,0,1,1,0,0,0,0,1
"200011010CHH","Wed, Nov 1, 2000","7:30p","Washington Wizards",95,"Charlotte Hornets",77,24,-11,1,0,0,0,1,1,0,0,0,0,0
"200011010CLE","Wed, Nov 1, 2000","7:30p","Sacramento Kings",100,"Cleveland Cavaliers",102,4,19,1,1,1,0,1,1,0,0,0,0,1
